Epoch 18 | Batch 40/100 | Loss 0.000072
Epoch 18 | Batch 50/100 | Loss 0.000120
Epoch 18 | Batch 60/100 | Loss 0.000110
Epoch 18 | Batch 70/100 | Loss 0.000104
Epoch 18 | Batch 80/100 | Loss 0.000102
Epoch 18 | Batch 90/100 | Loss 0.000104
100 Test Acc = 71.10% +- 1.08%
Epoch 19 | Batch 0/100 | Loss 0.000140
Epoch 19 | Batch 10/100 | Loss 0.000163
Epoch 19 | Batch 20/100 | Loss 0.000144
Epoch 19 | Batch 30/100 | Loss 0.000114
Epoch 19 | Batch 40/100 | Loss 0.000114
Epoch 19 | Batch 50/100 | Loss 0.000109
Epoch 19 | Batch 60/100 | Loss 0.000107
Epoch 19 | Batch 70/100 | Loss 0.000105
Epoch 19 | Batch 80/100 | Loss 0.000108
Epoch 19 | Batch 90/100 | Loss 0.000101
100 Test Acc = 71.14% +- 1.21%
Epoch 20 | Batch 0/100 | Loss 0.000037
Epoch 20 | Batch 10/100 | Loss 0.000032
Epoch 20 | Batch 20/100 | Loss 0.000065
Epoch 20 | Batch 30/100 | Loss 0.000065
Epoch 20 | Batch 40/100 | Loss 0.000057
Epoch 20 | Batch 50/100 | Loss 0.000056
Epoch 20 | Batch 60/100 | Loss 0.000061
Epoch 20 | Batch 70/100 | Loss 0.000069
Epoch 20 | Batch 80/100 | Loss 0.000066
Epoch 20 | Batch 90/100 | Loss 0.000062
100 Test Acc = 72.25% +- 1.13%
Epoch 21 | Batch 0/100 | Loss 0.000048
Epoch 21 | Batch 10/100 | Loss 0.000109
Epoch 21 | Batch 20/100 | Loss 0.000069
Epoch 21 | Batch 30/100 | Loss 0.000070
Epoch 21 | Batch 40/100 | Loss 0.000067
Epoch 21 | Batch 50/100 | Loss 0.000081
Epoch 21 | Batch 60/100 | Loss 0.000071
Epoch 21 | Batch 70/100 | Loss 0.000065
Epoch 21 | Batch 80/100 | Loss 0.000061
Epoch 21 | Batch 90/100 | Loss 0.000067
100 Test Acc = 71.78% +- 1.18%
Epoch 22 | Batch 0/100 | Loss 0.000132
Epoch 22 | Batch 10/100 | Loss 0.000061
Epoch 22 | Batch 20/100 | Loss 0.000066
Epoch 22 | Batch 30/100 | Loss 0.000059
Epoch 22 | Batch 40/100 | Loss 0.000055
Epoch 22 | Batch 50/100 | Loss 0.000067
Epoch 22 | Batch 60/100 | Loss 0.000065
Epoch 22 | Batch 70/100 | Loss 0.000059
Epoch 22 | Batch 80/100 | Loss 0.000056
Epoch 22 | Batch 90/100 | Loss 0.000052
100 Test Acc = 71.89% +- 1.25%
Epoch 23 | Batch 0/100 | Loss 0.000019
Epoch 23 | Batch 10/100 | Loss 0.000028
Epoch 23 | Batch 20/100 | Loss 0.000020
Epoch 23 | Batch 30/100 | Loss 0.000027
Epoch 23 | Batch 40/100 | Loss 0.000024
Epoch 23 | Batch 50/100 | Loss 0.000025
Epoch 23 | Batch 60/100 | Loss 0.000026
Epoch 23 | Batch 70/100 | Loss 0.000030
Epoch 23 | Batch 80/100 | Loss 0.000029
Epoch 23 | Batch 90/100 | Loss 0.000029
100 Test Acc = 72.11% +- 1.30%
Epoch 24 | Batch 0/100 | Loss 0.000004
